"id_study";"age";"class";"count"
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Magnoliopsida";7
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Magnoliopsida";8
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Magnoliopsida";8
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Magnoliopsida";8
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Magnoliopsida";9
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Magnoliopsida";9
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Magnoliopsida";7
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Magnoliopsida";9
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Magnoliopsida";9
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Magnoliopsida";11
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Magnoliopsida";10
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Magnoliopsida";9
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Magnoliopsida";10
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Magnoliopsida";9
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Magnoliopsida";9
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Magnoliopsida";8
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Magnoliopsida";8
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Magnoliopsida";8
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"11";"Magnoliopsida";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Magnoliopsida";8
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Magnoliopsida";8
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Magnoliopsida";9
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Magnoliopsida";12
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Magnoliopsida";11
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"2";"Magnoliopsida";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"40";"Magnoliopsida";6
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"70";"Magnoliopsida";8
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"70";"Pinopsida";1
"CU_Aravena et al. 2002_1 1A Trees ba (5 cm dbh) random plots or quadrats";"11";"Magnoliopsida";1
"CU_Aravena et al. 2002_1 1A Trees ba (5 cm dbh) random plots or quadrats";"134";"Magnoliopsida";1
"CU_Aravena et al. 2002_1 1A Trees ba (5 cm dbh) random plots or quadrats";"199";"Magnoliopsida";2
"CU_Aravena et al. 2002_1 1A Trees ba (5 cm dbh) random plots or quadrats";"70";"Magnoliopsida";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"13";"Magnoliopsida";5
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"4";"Magnoliopsida";3
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Liliopsida";4
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Magnoliopsida";17
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"500";"Polypodiopsida";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"8.5";"Liliopsida";1
"CU_Buckney and Morrison 1992_1 2R Plants random plots or quadrats";"8.5";"Magnoliopsida";3
"CU_Chapman et al. 1997_1 1A Trees (14 cm dbh) random plots or quadrats";"23";"Magnoliopsida";1
"CU_Chapman et al. 1997_1 1A Trees (14 cm dbh) random plots or quadrats";"500";"Magnoliopsida";3
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"13";"Magnoliopsida";175
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"17.5";"Magnoliopsida";18
"CU_Eilu and Obua 2005_1 1A Trees (10 cm dbh) random plots or quadrats";"500";"Magnoliopsida";50
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"100";"Magnoliopsida";4
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"15";"Magnoliopsida";11
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"16";"Magnoliopsida";20
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"17";"Magnoliopsida";23
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"18";"Magnoliopsida";27
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"19";"Magnoliopsida";31
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"20";"Magnoliopsida";28
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats";"30";"Magnoliopsida";35
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats_importance value";"15";"Magnoliopsida";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats_importance value";"17";"Magnoliopsida";1
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats_importance value";"19";"Magnoliopsida";4
"CU_Fang and Peng 1997_1 2R Trees random plots or quadrats_importance value";"30";"Magnoliopsida";1
"CU_Fukushima et al. 2008_1 1A Trees (1 cm dbh) biomass random plots or quadrats";"34.5";"Magnoliopsida";1
"CU_Fukushima et al. 2008_1 1A Trees (1 cm dbh) random plots or quadrats";"24.5";"Magnoliopsida";174
"CU_Fukushima et al. 2008_1 1A Trees (1 cm dbh) random plots or quadrats";"34.5";"Magnoliopsida";178
"CU_Fukushima et al. 2008_1 1A Trees (1 cm dbh) random plots or quadrats";"44.5";"Magnoliopsida";150
"CU_Fukushima et al. 2008_1 1A Trees (1 cm dbh) random plots or quadrats";"500";"Magnoliopsida";185
"CU_Gillison et al. 2003_2 3I Plants random plots or quadrats";"13";"FUNGI";50
"CU_Gillison et al. 2003_2 3I Plants random plots or quadrats";"500";"FUNGI";103
"CU_Grau et al. 1997_1 1A Trees (10 cm dbh) random plots or quadrats";"11.5";"Magnoliopsida";8
"CU_Grau et al. 1997_1 1A Trees (10 cm dbh) random plots or quadrats";"22.5";"Magnoliopsida";21
"CU_Grau et al. 1997_1 1A Trees (10 cm dbh) random plots or quadrats";"47.5";"Magnoliopsida";41
"CU_Grau et al. 1997_1 1A Trees (10 cm dbh) random plots or quadrats";"500";"Magnoliopsida";42
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Castanopsis)";"40";"Liliopsida";2
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Castanopsis)";"40";"Magnoliopsida";7
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Castanopsis)";"500";"Liliopsida";3
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Castanopsis)";"500";"Magnoliopsida";17
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Castanopsis)";"500";"Pinopsida";1
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Castanopsis)";"500";"Polypodiopsida";2
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Quercus)";"40";"Liliopsida";9
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Quercus)";"40";"Magnoliopsida";36
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Quercus)";"40";"Pinopsida";1
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Quercus)";"40";"Polypodiopsida";3
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Quercus)";"500";"Liliopsida";11
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Quercus)";"500";"Lycopodiopsida";1
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Quercus)";"500";"Magnoliopsida";50
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Quercus)";"500";"Pinopsida";2
"CU_Ishida et al. 2005_1 3I Plants random plots or quadrats (Quercus)";"500";"Polypodiopsida";6
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"1";"Magnoliopsida";14
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"10";"Magnoliopsida";25
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"15";"Magnoliopsida";30
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"2";"Magnoliopsida";14
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"20";"Magnoliopsida";29
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"23";"Magnoliopsida";26
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"3";"Magnoliopsida";21
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"30";"Magnoliopsida";28
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"40";"Magnoliopsida";25
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"5";"Magnoliopsida";29
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"50";"Magnoliopsida";26
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"500";"Magnoliopsida";19
"CU_Kennard 2002_1 2R Plants random plots or quadrats";"7";"Magnoliopsida";25
"CU_Liebsch et al. 2008 Liebsch et al. 2007_Guapyassu 1994";"120";"Magnoliopsida";57
"CU_Liebsch et al. 2008 Liebsch et al. 2007_Guapyassu 1994";"14";"Magnoliopsida";24
"CU_Liebsch et al. 2008 Liebsch et al. 2007_Guapyassu 1994";"25";"Magnoliopsida";37
"CU_Parrotta and Knowles 2001_1 3I Plants random plots or quadrats";"10";"Liliopsida";7
"CU_Parrotta and Knowles 2001_1 3I Plants random plots or quadrats";"10";"Magnoliopsida";204
"CU_Parrotta and Knowles 2001_1 3I Plants random plots or quadrats";"11";"Liliopsida";3
"CU_Parrotta and Knowles 2001_1 3I Plants random plots or quadrats";"11";"Magnoliopsida";188
"CU_Parrotta and Knowles 2001_1 3I Plants random plots or quadrats";"500";"Liliopsida";5
"CU_Parrotta and Knowles 2001_1 3I Plants random plots or quadrats";"500";"Magnoliopsida";158
"CU_Parrotta and Knowles 2001_1 3I Plants random plots or quadrats";"9";"Liliopsida";1
"CU_Parrotta and Knowles 2001_1 3I Plants random plots or quadrats";"9";"Magnoliopsida";40
"CU_Pascarella et al. 2000_1 2R Trees and shrubs random plots or quadrats";"13";"Magnoliopsida";1
"CU_Pascarella et al. 2000_1 2R Trees and shrubs random plots or quadrats";"77";"Magnoliopsida";3
"CU_Pascarella et al. 2000_1 2R Trees and shrubs random plots or quadrats";"80";"Magnoliopsida";3
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"100";"Magnoliopsida";51
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"11";"Magnoliopsida";14
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"12";"Magnoliopsida";9
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"13";"Magnoliopsida";11
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"15";"Magnoliopsida";19
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"17";"Magnoliopsida";12
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"20";"Magnoliopsida";16
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"23";"Magnoliopsida";52
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"25";"Magnoliopsida";46
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"35";"Liliopsida";1
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"35";"Magnoliopsida";57
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"37";"Magnoliopsida";42
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"6";"Liliopsida";1
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"6";"Magnoliopsida";9
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"60";"Magnoliopsida";35
"CU_Powers et al. 2009_1 3I Trees (10 cm dbh) random plots or quadrats";"8";"Magnoliopsida";7
"CU_Powers et al. 2009_SROAK";"10";"Magnoliopsida";1
"CU_Powers et al. 2009_SROAK";"11";"Magnoliopsida";4
"CU_Powers et al. 2009_SROAK";"12";"Magnoliopsida";3
"CU_Powers et al. 2009_SROAK";"15";"Magnoliopsida";7
"CU_Powers et al. 2009_SROAK";"18";"Magnoliopsida";25
"CU_Powers et al. 2009_SROAK";"21";"Magnoliopsida";6
"CU_Powers et al. 2009_SROAK";"25";"Magnoliopsida";33
"CU_Powers et al. 2009_SROAK";"30";"Magnoliopsida";32
"CU_Powers et al. 2009_SROAK";"5";"Magnoliopsida";16
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"1";"Magnoliopsida";3
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"12";"Magnoliopsida";1
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"2";"Liliopsida";6
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"2";"Magnoliopsida";8
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"3";"Liliopsida";9
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"3";"Magnoliopsida";16
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"4";"Liliopsida";2
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"4";"Magnoliopsida";6
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"5";"Liliopsida";3
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"5";"Magnoliopsida";5
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"6";"Liliopsida";3
"CU_Purata 1986_1 2R Herbs (5% cover) random plots or quadrats";"6";"Magnoliopsida";5
"CU_Purata 1986_1 2R Palms (10% cover) random plots or quadrats";"12";"Magnoliopsida";1
"CU_Purata 1986_1 2R Palms (10% cover) random plots or quadrats";"2";"Magnoliopsida";1
"CU_Purata 1986_1 2R Palms (10% cover) random plots or quadrats";"3";"Liliopsida";1
"CU_Purata 1986_1 2R Palms (10% cover) random plots or quadrats";"3";"Magnoliopsida";2
"CU_Purata 1986_1 2R Palms (10% cover) random plots or quadrats";"4";"Liliopsida";1
"CU_Purata 1986_1 2R Palms (10% cover) random plots or quadrats";"5";"Liliopsida";4
"CU_Purata 1986_1 2R Palms (10% cover) random plots or quadrats";"5";"Magnoliopsida";1
"CU_Purata 1986_1 2R Palms (10% cover) random plots or quadrats";"6";"Liliopsida";5
"CU_Purata 1986_1 2R Palms (10% cover) random plots or quadrats";"6";"Magnoliopsida";2
"CU_Purata 1986_1 2R Shrubs (5% cover) random plots or quadrats";"1";"Magnoliopsida";2
"CU_Purata 1986_1 2R Shrubs (5% cover) random plots or quadrats";"12";"Magnoliopsida";10
"CU_Purata 1986_1 2R Shrubs (5% cover) random plots or quadrats";"2";"Magnoliopsida";34
"CU_Purata 1986_1 2R Shrubs (5% cover) random plots or quadrats";"3";"Magnoliopsida";57
"CU_Purata 1986_1 2R Shrubs (5% cover) random plots or quadrats";"4";"Magnoliopsida";13
"CU_Purata 1986_1 2R Shrubs (5% cover) random plots or quadrats";"5";"Magnoliopsida";27
"CU_Purata 1986_1 2R Shrubs (5% cover) random plots or quadrats";"6";"Magnoliopsida";20
"CU_Purata 1986_1 2R Trees (10% cover) random plots or quadrats";"12";"Magnoliopsida";13
"CU_Purata 1986_1 2R Trees (10% cover) random plots or quadrats";"2";"Magnoliopsida";18
"CU_Purata 1986_1 2R Trees (10% cover) random plots or quadrats";"3";"Magnoliopsida";64
"CU_Purata 1986_1 2R Trees (10% cover) random plots or quadrats";"4";"Magnoliopsida";18
"CU_Purata 1986_1 2R Trees (10% cover) random plots or quadrats";"5";"Magnoliopsida";50
"CU_Purata 1986_1 2R Trees (10% cover) random plots or quadrats";"6";"Magnoliopsida";34
"CU_Stark et al. 2006_1 2R Plants random plots or quadrats_age 1";NA;"FUNGI";161
"CU_Stark et al. 2006_1 2R Plants random plots or quadrats_age 10";NA;"FUNGI";80
"CU_Stark et al. 2006_1 2R Plants random plots or quadrats_age 5";NA;"FUNGI";35
"HU_Upadhaya et al. 2015_density";"500";"Magnoliopsida";23
"HU_Upadhaya et al. 2015_density";"60";"Liliopsida";1
"HU_Upadhaya et al. 2015_density";"60";"Magnoliopsida";31
