Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. data?
Abbot et al. (2003);Cockroaches, grasshoppers, crickets and spiders;Transition;AA;Australia;-34.115;116.369;270;15;1;no
Aerts et al. (2008);Birds;Broadleaf;AT;Ethiopia;13.617;39.350;1900;5;10;yes
Aidar et al. (2001);Plants;Broadleaf;NT;Brazil;-24.529;-48.686;550;2;1;no
Andersen (1993);Ants;Transition;AA;Australia;-12.670;132.830;30;6;2;yes
Andersen and Nelson (1999);NVSM;Transition;NA;United States;34.279;-114.121;120;2;1;no
Andersen et al. (2001);Grasshoppers;Open;AA;Australia;-12.853;132.587;20;10;10;no
Andrade and Rubio-Torgler (1994);Birds;Broadleaf;NT;Colombia;-1.236;-69.922;100;3;4;no
Aravena et al. (2002);Plants;Broadleaf;NT;Chile;-43.122;-74.030;75;4;1;no
Barlow et al. (2007a);Birds;Broadleaf;NT;Brazil;-0.913;-52.561;70;5;5;no
Barlow et al. (2007b);Butterflies;Broadleaf;NT;Brazil;-0.913;-52.561;70;5;5;no
Bihn et al. (2008);Ants;Broadleaf;NT;Brazil;-2.530.563;-4.868.280;130;6;3;yes
Blake and Loiselle (2001);Birds;Broadleaf;NT;Costa Rica;10.417;-84.017;100;2;1;no
Bobo et al. (2006);Butterflies;Broadleaf;AT;Cameroon;5.379;9.185;250;6;6;no
Bowen et al. (2009);Birds;Transition;AA;Australia;-27.636;149.900;280;31;51;yes
Bowman et al. (1990);Birds, butterflies and reptiles;Broadleaf;AA;Papua New Guinea;-5.000;145.733;380;13;3;no
Bragagnolo et al. (2007);Harvestmen;Broadleaf;NT;Brazil;-23.739;-47.074;980;12;4;yes
Buckney and Morrison (1992);Plants;Transition;AA;Australia;-32.410;152.470;80;3;4;yes
Castro-Luna et al. (2007);Bats;Broadleaf;NT;Mexico;17.608;-92.463;190;6;2;no
Chambers et al. (1994);Plants;Open;NA;United States;42.800;-111.367;1620;6;1;no
Chapman et al. (1997);Plants;Broadleaf;AT;Uganda;0.574;30.394;1500;2;2;yes
Chung et al. (2007);Beetles;Broadleaf;IM;Malaysia;5.603;117.644;60;1;1;no
Costa et al. (2010);Ants;Open;NT;Brazil;-18.000;-43.349;1250;7;1;no
de Souza et al. (2008);Amphibians;Broadleaf;NT;Brazil;-22.462;-52.123;210;6;3;yes
Dranzoa (1998);Birds;Broadleaf;AT;Uganda;0.436;30.535;1400;1;1;yes
Eggleton et al. (1997);Termites;Broadleaf;IM;Malaysia;4.967;117.800;180;1;1;no
Eilu and Obua (2005);Plants;Broadleaf;AT;Uganda;-1.030;29.686;1750;4;2;yes
Ernst and Rodel (2005);Amphibians;Broadleaf;AT;Ivory Coast;5.833;-7.333;200;4;6;no
Estrada et al. (1994);NVSM;Broadleaf;NT;Mexico;18.518;-95.169;1100;12;35;no
Fang and Peng (1997);Plants;Transition;IM;China;21.464;110.905;40;7;1;no
Faria (2006);Bats;Broadleaf;NT;Brazil;-15.283;-39.067;50;6;12;no
Fawrig et al. (2008);Birds;Broadleaf;AT;Kenya;0.286;34.879;1500;3;3;no
Fermon et al. (2005);Butterflies;Broadleaf;IM;Indonesia;-1.209;120.142;880;6;6;yes
Fimbel (1994);Large mammals;Broadleaf;AT;Sierra Leone;7.549;-11.348;130;1;1;no
Floren et al. (2001);Ants;Broadleaf;IM;Malaysia;6.046;116.703;500;3;1;no
Fukushima et al. (2008);Plants;Broadleaf;IM;Thailand;18.553;98.515;930;21;7;yes
Gardner et al. (2007);Reptiles and amphibians;Broadleaf;NT;Brazil;-0.913;-52.561;70;5;5;no
Gardner et al. (2008);Beetles;Broadleaf;NT;Brazil;-0.913;-52.561;70;5;5;no
Gillison et al. (2003);Termites;Broadleaf;IM;Indonesia;-1.079;102.099;60;1;1;no
Glor et al. (2001);Reptiles;Broadleaf;NT;Dominican Republic;19.060;-69.586;150;18;2;no
Gollan et al. (2011);Beetles;Broadleaf;AA;Australia;-32.221;150.896;170;9;3;yes
Gove et al. (2005);Ants;Transition;NT;Mexico;19.583;-96.383;30;6;3;yes
Grau et al. (1997);Plants;Broadleaf;NT;Argentina;-26.800;-65.383;1000;4;2;yes
Grove (2002);Saproxylic beetles;Broadleaf;AA;Australia;-16.132;145.415;60;3;3;yes
Hawes et al. (2009);Moths;Broadleaf;NT;Brazil;-0.913;-52.561;70;5;5;no
Heinen (1992);Reptiles and amphibians;Broadleaf;NT;Costa Rica;10.403;-84.021;100;2;1;no
Hingston and Grove (2010);Birds;Broadleaf;AA;Australia;-43.164;146.698;260;9;2;yes
Hopp et al. (2010);Beetles;Broadleaf;NT;Brazil;-25.372;-48.567;300;18;3;no
House et al. (2006);Ants;Broadleaf;AA;Australia;-27.012;150.716;310;6;2;yes
Ishida et al. (2005);Plants;Broadleaf;PA;Japan;34.417;129.333;350;2;2;no
Johns (1991);Birds;Broadleaf;NT;Brazil;-3.533;-64.967;60;2;1;no
Kanowski et al. (2006) [1];Reptiles;Broadleaf;AA;Australia;-27.154;152.651;200;2;1;no
Kanowski et al. (2006) [2];Reptiles;Broadleaf;AA;Australia;-17.278;145.657;700;2;1;no
Kardol et al. (2005);Macro-invertebrates;Open;PA;Netherlands;52.048;6.020;50;26;3;yes
Kennard (2002);Plants;Transition;NT;Bolivia;-16.750;-61.750;500;12;1;no
Kindscher and Tieszen (1998);Plants;Open;NA;United States;39.032;-95.140;260;3;2;yes
Klein (1989);Beetles;Broadleaf;NT;Brazil;-2.417;-59.833;100;3;3;no
Kritzinger and Van Aarde (1998);Birds;Transition;AT;South Africa;-28.626;32.074;50;5;1;no
Lambert (1992);Birds;Broadleaf;IM;Malaysia;4.233;116.467;210;1;1;no
Law and Chidel (2001);Bats;Broadleaf;AA;Australia;-37.055;149.873;100;1;1;no
Li et al. (2011);Epiphytes;Broadleaf;PA;China;24.063;101.278;2300;3;1;no
Lieberman (1986);Reptiles and amphibians;Broadleaf;NT;Costa Rica;10.403;-84.021;60;1;1;no
Liebsch et al. (2007);Plants;Broadleaf;NT;Brazil;-25.435;-48.814;60;in 2008 study;;
Liebsch et al. (2008) and contained studies;Plants;Broadleaf;NT;Brazil;-25.038;-48.861;350;13;5;yes
Luja et al. (2008);Reptiles;Transition;NT;Mexico;18.444;-89.104;150;36;36;no
MacGregor-Fors et al. (2010);Birds;Conifer;NT;Mexico;19.399;-102.245;2750;2;1;no
Majer (1992);Ants;Broadleaf;NT;Brazil;-21.850;-46.567;1250;11;2;yes
Marin-Spiotta et al. (2007);Plants;Broadleaf;NT;Puerto Rico;18.017;-66.083;640;15;3;no
Marsden (1998);Birds;Broadleaf;IM;Indonesia;-3.283;129.567;300;1;1;no
McLachlan and Knispel (2005);Plants;Open;NA;Canada;49.867;-97.483;230;9;3;no
Medellín and Equihua (1998);NVSM;Broadleaf;NT;Mexico;16.117;-90.933;120;4;4;no
Medellín et al. (2000);Bats;Broadleaf;NT;Mexico;16.117;-90.933;120;3;3;no
Michael et al. (2011);Reptiles;Transition;AA;Australia;-35.493;147.308;380;123;77;yes
Moola and Vasseur (2004);Plants;Conifer;NA;Canada;44.083;-64.767;50;16;9;no
Nakagawa et al. (2006);NVSM;Broadleaf;IM;Malaysia;4.198;114.043;175;9;5;yes
Nicolas et al. (2009);NVSM;Broadleaf;AT;Guinea;8.330;-9.330;800;20;4;yes
O'Dea and Whittaker (2007)*;Birds;Broadleaf;NT;Ecuador;0.078;-78.684;1800;50;50;yes
Owiunji and Plumptre (1998);Birds;Transition;AT;Uganda;1.750;31.500;1100;3;2;yes
Palladini et al. (2007);Ants;Conifer;NA;United States;42.100;-123.200;1400;4;6;yes
Parrotta and Knowles (2001);Plants;Broadleaf;NT;Brazil;-1.667;-56.450;180;5;1;no
Parry et al. (2007);Large mammals and birds;Broadleaf;NT;Brazil;-0.913;-52.561;40;4;4;no
Pascarella et al. (2000);Plants;Broadleaf;NT;Puerto Rico;18.000;-66.100;500;33;4;no
Patten (1997);NVSM;Open;NA;United States;33.893;-116.573;230;1;1;no
Pawar et al. (2004);Reptiles and amphibians;Broadleaf;IM;India;22.807;92.566;100;5;3;yes
Peh et al. (2005);Birds (forest);Broadleaf;IM;Malaysia;2.100;103.300;300;2;2;yes
Piqueray et al. (2011);Plants;Open;PA;Belgium;50.104;4.910;250;12;8;no
Powers et al. (2009)*;Plants;Transition;NT;Costa Rica;10.840;85.620;550;22;3;yes
Purata (1986);Plants;Broadleaf;NT;Mexico;18.582;-95.105;450;25;1;no
Quintero and Roslin (2005);Beetles;Broadleaf;NT;Brazil;-2.417;-59.833;100;3;3;yes
Raman (2001);Birds;Broadleaf;IM;India;23.566;92.388;500;10;2;yes
Renner et al. (2006);Birds;Broadleaf;IM;Guatemala;15.383;-90.067;2250;6;6;no
Roth et al. (1994);Ants;Broadleaf;NT;Costa Rica;10.403;-84.021;400;2;2;yes
Sáfián et al. (2010);Butterflies;Broadleaf;AT;Ghana;5.360;-1.369;180;4;3;yes
Sarmiento et al. (2003);Plants;Broadleaf;NT;Venezuela;8.581;-70.700;900;115;8;no
Schonberg et al. (2004);Ants;Broadleaf;NT;Costa Rica;10.333;-84.750;1450;1;1;no
Selmants and Knight (2003);Plants;Conifer;NA;United States;41.000;-106.000;2900;30;24;no
Shahabuddin et al (2005);Beetles;Broadleaf;IM;Indonesia;-1.422;120.324;1150;4;4;no
Silva et al. (2007);Ants;Broadleaf;NT;Brazil;-27.018;-49.017;575;5;1;no
Sodhi et al. (2005);Birds;Broadleaf;IM;Indonesia;-1.107;120.128;1100;100;100;no
Sorensen and Fedigan (2000);Large mammals;Broadleaf;NT;Costa Rica;10.833;-85.650;150;11;2;yes
Stark et al. (2006);Plants;Conifer;NA;Canada;50.700;-120.300;900;21;10;yes
Stenbacka et al. (2010);Beetles;Conifer;PA;Sweden;63.830;18.295;330;27;18;yes
Vallan (2002);Amphibians;Broadleaf;AT;Madagascar;-18.954;48.522;900;2;4;yes
Vasconcelos (1999);Ants;Broadleaf;NT;Brazil;-2.417;-59.833;80;3;2;yes
Veddeler et al. (2005);Butterflies;Broadleaf;IM;Indonesia;-1.209;120.142;1100;24;4;no
Waltert et al. (2005);Butterflies;Broadleaf;IM;Indonesia;-1.209;120.142;1000;3;2;yes
Wijesinghe and Brooke (2005);NVSM and birds;Broadleaf;IM;Sri Lanka;6.350;80.350;200;40;20;no
Willett (2001);Spiders;Broadleaf;NA;United States;37.100;-122.130;520;2;1;no
Wu et al. (1996);NVSM;Broadleaf;IM;China;22.025;100.871;700;6;7;yes
